,eruptions,waiting,,uniform log f(x),norm log f(x),V shaped,lognorm,V Shape F(x) ,norm,mu,3.487783088,waiting time,eruptions,Observed,Uniform,Normal,V Shaped
1,3.6,79,,-5.605802066,-1.056002102,-1.291568543,-4.201327327,,,sigma,1.141371251,79,1.6,0.003676471,0,0.049067758,0.208699951
2,1.8,54,,-5.605802066,-2.144494249,-0.956917585,-4.866788685,,,log L,-421.4179475,133,1.62,0.003676471,0.003676471,0.050873994,0.205289174
3,3.333,74,,-5.605802066,-1.060364167,-1.504868614,-4.257088535,,,,,207,1.65,0.003676471,0.007352941,0.053682158,0.202056352
4,2.283,62,,-5.605802066,-1.608269839,-4.238168128,-4.597027903,,lognorm,mu,3.487783088,269,1.68,0.007352941,0.011029412,0.056611712,0.199001483
5,4.533,85,,-5.605802066,-1.470472921,-0.778012836,-4.061773175,,,sigma,1.141371251,354,1.71,0.011029412,0.014705882,0.059665792,0.196124567
6,2.883,55,,-5.605802066,-1.191552217,-2.016882239,-4.374404235,,,log L,-1176.405638,409,1.74,0.014705882,0.018382353,0.062847493,0.193425606
7,4.7,88,,-5.605802066,-1.615165962,-0.70858958,-4.043566785,,,,,497,1.77,0.036764706,0.022058824,0.066159858,0.190904597
8,3.6,85,,-5.605802066,-1.056002102,-1.291568543,-4.201327327,,V shape,a,1.6,582,1.8,0.058823529,0.025735294,0.069605873,0.188561542
9,1.95,51,,-5.605802066,-1.958793625,-1.412393114,-4.771107765,,,b,5.1,633,1.83,0.069852941,0.029411765,0.073188454,0.186396441
10,4.35,85,,-5.605802066,-1.336500096,-0.860066461,-4.083734596,,,c,2.21,718,1.86,0.102941176,0.033088235,0.076910441,0.184409293
11,1.833,54,,-5.605802066,-2.102158221,-1.040829558,-4.84464053,,,log L,-357.5495879,772,1.89,0.147058824,0.036764706,0.080774589,0.182600099
12,3.917,84,,-5.605802066,-1.121877127,-1.086134846,-4.145490866,,uniform,mean,3.487783088,856,1.92,0.154411765,0.040441176,0.084783556,0.180968858
13,4.2,78,,-5.605802066,-1.245857609,-0.932737651,-4.103463763,,,sigma,1.141371251,934,1.95,0.165441176,0.044117647,0.088939898,0.179515571
14,1.75,47,,-5.605802066,-2.210232555,-0.841848256,-4.901633435,,,log L,-1524.778162,981,1.98,0.176470588,0.047794118,0.093246057,0.178240237
15,4.7,83,,-5.605802066,-1.615165962,-0.70858958,-4.043566785,,,,,1064,2.01,0.202205882,0.051470588,0.097704352,0.177142857
16,2.167,52,,-5.605802066,-1.720712959,-3.211874629,-4.652493311,,,,,1116,2.04,0.220588235,0.055147059,0.102316971,0.176223431
17,1.75,62,,-5.605802066,-2.210232555,-0.841848256,-4.901633435,,,,,1178,2.07,0.224264706,0.058823529,0.10708596,0.175481957
18,4.8,84,,-5.605802066,-1.712056226,-0.669214414,-4.033434387,,,,,1262,2.1,0.242647059,0.0625,0.112013214,0.174918438
19,1.6,52,,-5.605802066,-2.418961771,-0.559615788,-5.016526356,,,,,1314,2.13,0.242647059,0.066176471,0.117100471,0.174532872
20,4.25,79,,-5.605802066,-1.274152722,-0.907922482,-4.096704515,,,,,1393,2.16,0.25,0.069852941,0.122349299,0.17432526
21,1.8,51,,-5.605802066,-2.144494249,-0.956917585,-4.866788685,,,,,1444,2.19,0.261029412,0.073529412,0.12776109,0.174295601
22,1.75,47,,-5.605802066,-2.210232555,-0.841848256,-4.901633435,,,,,1491,2.22,0.275735294,0.077205882,0.133337049,0.174443895
23,3.45,78,,-5.605802066,-1.051716837,-1.40576091,-4.231559798,,,,,1569,2.25,0.290441176,0.080882353,0.13907819,0.174770143
24,3.067,69,,-5.605802066,-1.11912569,-1.77518965,-4.32238736,,,,,1638,2.28,0.294117647,0.084558824,0.144985324,0.175274345
25,4.533,74,,-5.605802066,-1.470472921,-0.778012836,-4.061773175,,,,,1712,2.31,0.301470588,0.088235294,0.151059053,0.1759565
26,3.6,83,,-5.605802066,-1.056002102,-1.291568543,-4.201327327,,,,,1795,2.34,0.308823529,0.091911765,0.157299762,0.176816609
27,1.967,55,,-5.605802066,-1.938837191,-1.480013302,-4.761027309,,,,,1850,2.37,0.316176471,0.095588235,0.163707615,0.177854671
28,4.083,76,,-5.605802066,-1.187146305,-0.993330867,-4.120034866,,,,,1926,2.4,0.327205882,0.099264706,0.170282543,0.179070687
29,3.85,78,,-5.605802066,-1.101525199,-1.126176048,-4.15646133,,,,,2004,2.43,0.334558824,0.102941176,0.177024244,0.180464656
30,4.433,79,,-5.605802066,-1.394078105,-0.822014655,-4.073499844,,,,,2083,2.46,0.334558824,0.106617647,0.183932175,0.182036579
31,4.3,73,,-5.605802066,-1.304366884,-0.883708224,-4.090129954,,,,,2156,2.49,0.338235294,0.110294118,0.191005546,0.183786456
32,4.467,77,,-5.605802066,-1.419191073,-0.806835792,-4.069440346,,,,,2233,2.52,0.338235294,0.113970588,0.198243318,0.185714286
33,3.367,66,,-5.605802066,-1.056768156,-1.475041842,-4.249483844,,,,,2299,2.55,0.338235294,0.117647059,0.205644197,0.187820069
34,4.033,80,,-5.605802066,-1.165260817,-1.020388794,-4.127453741,,,,,2379,2.58,0.338235294,0.121323529,0.213206633,0.190103806
35,3.833,74,,-5.605802066,-1.096909358,-1.136596002,-4.159312069,,,,,2453,2.61,0.338235294,0.125,0.220928817,0.192565497
36,2.017,52,,-5.605802066,-1.881427559,-1.710384556,-4.732201628,,,,,2505,2.64,0.345588235,0.128676471,0.228808676,0.195205141
37,1.867,48,,-5.605802066,-2.059413603,-1.135344298,-4.822492216,,,,,2553,2.67,0.345588235,0.132352941,0.236843879,0.198022739
38,4.833,80,,-5.605802066,-1.745714554,-0.656553589,-4.03021035,,,,,2633,2.7,0.345588235,0.136029412,0.245031829,0.20101829
39,1.833,59,,-5.605802066,-2.102158221,-1.040829558,-4.84464053,,,,,2692,2.73,0.345588235,0.139705882,0.253369668,0.204191794
40,4.783,90,,-5.605802066,-1.695043325,-0.675799757,-4.035118076,,,,,2782,2.76,0.345588235,0.143382353,0.261854276,0.207543253
41,4.35,80,,-5.605802066,-1.336500096,-0.860066461,-4.083734596,,,,,2862,2.79,0.345588235,0.147058824,0.270482274,0.211072664
42,1.883,58,,-5.605802066,-2.039605537,-1.183114574,-4.812296819,,,,,2920,2.82,0.349264706,0.150735294,0.279250027,0.21478003
43,4.567,84,,-5.605802066,-1.498195796,-0.763482666,-4.057930372,,,,,3004,2.85,0.349264706,0.154411765,0.288153646,0.218665348
44,1.75,58,,-5.605802066,-2.210232555,-0.841848256,-4.901633435,,,,,3062,2.88,0.349264706,0.158088235,0.297188992,0.222728621
45,4.533,73,,-5.605802066,-1.470472921,-0.778012836,-4.061773175,,,,,3135,2.91,0.356617647,0.161764706,0.306351682,0.226969847
46,3.317,83,,-5.605802066,-1.062363455,-1.519218636,-4.260721728,,,,,3218,2.94,0.356617647,0.165441176,0.315637094,0.231389026
47,3.833,64,,-5.605802066,-1.096909358,-1.136596002,-4.159312069,,,,,3282,2.97,0.356617647,0.169117647,0.325040374,0.235986159
48,2.1,53,,-5.605802066,-1.790364447,-2.272594379,-4.686905635,,,,,3335,3,0.356617647,0.172794118,0.334556441,0.240761246
49,4.633,82,,-5.605802066,-1.554543935,-0.735865848,-4.05067197,,,,,3417,3.03,0.356617647,0.176470588,0.344179998,0.245714286
50,2,59,,-5.605802066,-1.900731516,-1.625967214,-4.741867344,,,,,3476,3.06,0.356617647,0.180147059,0.353905538,0.250845279
51,4.8,75,,-5.605802066,-1.712056226,-0.669214414,-4.033434387,,,,,3551,3.09,0.360294118,0.183823529,0.363727355,0.256154226
52,4.716,90,,-5.605802066,-1.630152564,-0.702184434,-4.041908169,,,,,3641,3.12,0.360294118,0.1875,0.373639551,0.261641127
53,1.833,54,,-5.605802066,-2.102158221,-1.040829558,-4.84464053,,,,,3695,3.15,0.360294118,0.191176471,0.383636051,0.267305981
54,4.833,80,,-5.605802066,-1.745714554,-0.656553589,-4.03021035,,,,,3775,3.18,0.360294118,0.194852941,0.393710609,0.273148789
55,1.733,54,,-5.605802066,-2.233020739,-0.805558254,-4.913849964,,,,,3829,3.21,0.360294118,0.198529412,0.403856823,0.27916955
56,4.883,83,,-5.605802066,-1.798304832,-0.637670853,-4.025434876,,,,,3912,3.24,0.360294118,0.202205882,0.414068146,0.285368265
57,3.717,71,,-5.605802066,-1.071334446,-1.21075137,-4.179523024,,,,,3983,3.27,0.360294118,0.205882353,0.4243379,0.291744933
58,1.667,64,,-5.605802066,-2.323595021,-0.675965425,-4.963166511,,,,,4047,3.3,0.360294118,0.209558824,0.434659285,0.298299555
59,4.567,77,,-5.605802066,-1.498195796,-0.763482666,-4.057930372,,,,,4124,3.33,0.363970588,0.213235294,0.445025397,0.30503213
60,4.317,81,,-5.605802066,-1.315076859,-0.875607155,-4.087935694,,,,,4205,3.36,0.371323529,0.216911765,0.455429241,0.311942659
61,2.233,59,,-5.605802066,-1.655470128,-5.393133353,-4.620326635,,,,,4264,3.39,0.375,0.220588235,0.465863744,0.319031142
62,4.5,84,,-5.605802066,-1.444414028,-0.792320472,-4.065572063,,,,,4348,3.42,0.378676471,0.224264706,0.476321768,0.326297578
63,1.75,48,,-5.605802066,-2.210232555,-0.841848256,-4.901633435,,,,,4396,3.45,0.378676471,0.227941176,0.486796129,0.333741967
64,4.8,82,,-5.605802066,-1.712056226,-0.669214414,-4.033434387,,,,,4478,3.48,0.382352941,0.231617647,0.497279607,0.34136431
65,1.817,60,,-5.605802066,-2.122580384,-0.999265133,-4.855297158,,,,,4538,3.51,0.389705882,0.235294118,0.507764963,0.349164607
66,4.4,92,,-5.605802066,-1.370552357,-0.836970746,-4.077513172,,,,,4630,3.54,0.389705882,0.238970588,0.518244957,0.357142857
67,4.167,78,,-5.605802066,-1.228234089,-0.949459602,-4.108028803,,,,,4708,3.57,0.397058824,0.242647059,0.528712357,0.365299061
68,4.7,78,,-5.605802066,-1.615165962,-0.70858958,-4.043566785,,,,,4786,3.6,0.397058824,0.246323529,0.539159959,0.373633218
69,2.067,65,,-5.605802066,-1.825936976,-2.010230115,-4.704547891,,,,,4851,3.63,0.411764706,0.25,0.549580598,0.382145329
70,4.7,73,,-5.605802066,-1.615165962,-0.70858958,-4.043566785,,,,,4924,3.66,0.411764706,0.253676471,0.559967167,0.390835393
71,4.033,82,,-5.605802066,-1.165260817,-1.020388794,-4.127453741,,,,,5006,3.69,0.415441176,0.257352941,0.570312628,0.399703411
72,1.967,56,,-5.605802066,-1.938837191,-1.480013302,-4.761027309,,,,,5062,3.72,0.419117647,0.261029412,0.580610027,0.408749382
73,4.5,79,,-5.605802066,-1.444414028,-0.792320472,-4.065572063,,,,,5141,3.75,0.422794118,0.264705882,0.590852509,0.417973307
74,4,71,,-5.605802066,-1.15186765,-1.03865667,-4.13246552,,,,,5212,3.78,0.433823529,0.268382353,0.601033333,0.427375185
75,1.983,62,,-5.605802066,-1.920257316,-1.548124728,-4.75167127,,,,,5274,3.81,0.433823529,0.272058824,0.61114588,0.436955017
76,5.067,76,,-5.605802066,-2.008362375,-0.571100167,-4.008943864,,,,,5350,3.84,0.455882353,0.275735294,0.621183671,0.446712803
77,2.017,60,,-5.605802066,-1.881427559,-1.710384556,-4.732201628,,,,,5410,3.87,0.463235294,0.279411765,0.63114038,0.456648542
78,4.567,78,,-5.605802066,-1.498195796,-0.763482666,-4.057930372,,,,,5488,3.9,0.466911765,0.283088235,0.64100984,0.466762234
79,3.883,76,,-5.605802066,-1.111118648,-1.106253868,-4.151005754,,,,,5564,3.93,0.477941176,0.286764706,0.65078606,0.47705388
80,3.6,83,,-5.605802066,-1.056002102,-1.291568543,-4.201327327,,,,,5647,3.96,0.485294118,0.290441176,0.660463234,0.48752348
81,4.133,75,,-5.605802066,-1.210950843,-0.966985823,-4.112820712,,,,,5722,3.99,0.492647059,0.294117647,0.670035749,0.498171033
82,4.333,82,,-5.605802066,-1.325359487,-0.868042107,-4.085889243,,,,,5804,4.02,0.514705882,0.297794118,0.679498199,0.50899654
83,4.1,70,,-5.605802066,-1.19502453,-0.984295461,-4.117559405,,,,,5874,4.05,0.522058824,0.301470588,0.688845389,0.52
84,2.633,65,,-5.605802066,-1.331601195,-2.48125539,-4.455979858,,,,,5939,4.08,0.533088235,0.305147059,0.698072348,0.531181414
85,4.067,73,,-5.605802066,-1.179934156,-1.001910008,-4.122386324,,,,,6012,4.11,0.558823529,0.308823529,0.707174332,0.542540781
86,4.933,88,,-5.605802066,-1.85281416,-0.619138076,-4.02078813,,,,,6100,4.14,0.573529412,0.3125,0.716146832,0.554078102
87,3.95,76,,-5.605802066,-1.133167784,-1.066987177,-4.140238857,,,,,6176,4.17,0.602941176,0.316176471,0.724985584,0.565793376
88,4.517,80,,-5.605802066,-1.45773391,-0.784924311,-4.063606476,,,,,6256,4.2,0.606617647,0.319852941,0.733686567,0.577686604
89,2.167,48,,-5.605802066,-1.720712959,-3.211874629,-4.652493311,,,,,6304,4.23,0.610294118,0.323529412,0.742246015,0.589757785
90,4,86,,-5.605802066,-1.15186765,-1.03865667,-4.13246552,,,,,6390,4.26,0.636029412,0.327205882,0.750660414,0.60200692
91,2.2,60,,-5.605802066,-1.687673574,-4.670489652,-4.636202978,,,,,6450,4.29,0.650735294,0.330882353,0.75892651,0.614434009
92,4.333,90,,-5.605802066,-1.325359487,-0.868042107,-4.085889243,,,,,6540,4.32,0.661764706,0.334558824,0.76704131,0.627039051
93,1.867,50,,-5.605802066,-2.059413603,-1.135344298,-4.822492216,,,,,6590,4.35,0.680147059,0.338235294,0.775002081,0.639822046
94,4.817,78,,-5.605802066,-1.729290968,-0.662672155,-4.031766261,,,,,6668,4.38,0.709558824,0.341911765,0.782806353,0.652782996
95,1.833,63,,-5.605802066,-2.102158221,-1.040829558,-4.84464053,,,,,6731,4.41,0.716911765,0.345588235,0.79045192,0.665921898
96,4.3,72,,-5.605802066,-1.304366884,-0.883708224,-4.090129954,,,,,6803,4.44,0.738970588,0.349264706,0.797936837,0.679238754
97,4.667,84,,-5.605802066,-1.584876717,-0.721931197,-4.047033832,,,,,6887,4.47,0.757352941,0.352941176,0.805259418,0.692733564
98,3.75,75,,-5.605802066,-1.077558812,-1.189089874,-4.173635597,,,,,6962,4.5,0.761029412,0.356617647,0.812418238,0.706406327
99,1.867,51,,-5.605802066,-2.059413603,-1.135344298,-4.822492216,,,,,7013,4.53,0.794117647,0.360294118,0.819412125,0.720257044
100,4.9,82,,-5.605802066,-1.816622686,-0.631331096,-4.023840712,,,,,7095,4.56,0.816176471,0.363970588,0.826240162,0.734285714
101,2.483,62,,-5.605802066,-1.438659174,-2.919155774,-4.512093658,,,,,7157,4.59,0.841911765,0.367647059,0.832901677,0.748492338
102,4.367,88,,-5.605802066,-1.347862548,-0.852153923,-4.081600054,,,,,7245,4.62,0.860294118,0.371323529,0.839396243,0.762876915
103,2.1,49,,-5.605802066,-1.790364447,-2.272594379,-4.686905635,,,,,7294,4.65,0.871323529,0.375,0.845723673,0.777439446
104,4.5,83,,-5.605802066,-1.444414028,-0.792320472,-4.065572063,,,,,7377,4.68,0.882352941,0.378676471,0.851884009,0.792179931
105,4.05,81,,-5.605802066,-1.172486565,-1.011106718,-4.124907953,,,,,7458,4.71,0.904411765,0.382352941,0.857877522,0.807098369
106,1.867,47,,-5.605802066,-2.059413603,-1.135344298,-4.822492216,,,,,7505,4.74,0.911764706,0.386029412,0.863704705,0.82219476
107,4.7,84,,-5.605802066,-1.615165962,-0.70858958,-4.043566785,,,,,7589,4.77,0.919117647,0.389705882,0.869366258,0.837469105
108,1.783,52,,-5.605802066,-2.166629955,-0.916290732,-4.878458057,,,,,7641,4.8,0.922794118,0.393382353,0.874863093,0.852921404
109,4.85,86,,-5.605802066,-1.763379931,-0.650093373,-4.028572029,,,,,7727,4.83,0.952205882,0.397058824,0.880196316,0.868551656
110,3.683,81,,-5.605802066,-1.065795782,-1.233571153,-4.185707366,,,,,7808,4.86,0.963235294,0.400735294,0.885367223,0.884359862
111,4.733,75,,-5.605802066,-1.646291146,-0.69542362,-4.040161707,,,,,7883,4.89,0.966911765,0.404411765,0.890377292,0.900346021
112,2.3,59,,-5.605802066,-1.5926589,-4.028817899,-4.589306603,,,,,7942,4.92,0.974264706,0.408088235,0.895228174,0.916510133
113,4.9,89,,-5.605802066,-1.816622686,-0.631331096,-4.023840712,,,,,8031,4.95,0.985294118,0.411764706,0.899921682,0.9328522
114,4.417,79,,-5.605802066,-1.382567286,-0.829238163,-4.075436604,,,,,8110,4.98,0.985294118,0.415441176,0.904459787,0.949372219
115,1.7,59,,-5.605802066,-2.277889911,-0.738664019,-4.938124243,,,,,8169,5.01,0.988970588,0.419117647,0.908844604,0.966070193
116,4.633,81,,-5.605802066,-1.554543935,-0.735865848,-4.05067197,,,,,8250,5.04,0.992647059,0.422794118,0.913078385,0.98294612
117,2.317,50,,-5.605802066,-1.577269803,-3.855798735,-4.581683946,,,,,8300,5.07,0.996323529,0.426470588,0.917163509,1
118,4.6,85,,-5.605802066,-1.525951896,-0.749578924,-4.0542684,,,,,8385,5.1,1,0.430147059,0.921102474,1.017231834
119,1.817,59,,-5.605802066,-2.122580384,-0.999265133,-4.855297158,,,,,8444,5.13,1,0.433823529,0.924897886,1.034641621
120,4.417,87,,-5.605802066,-1.382567286,-0.829238163,-4.075436604,,,,,8531,5.16,1,0.4375,0.928552452,1.052229362
121,2.617,53,,-5.605802066,-1.342197824,-2.519814384,-4.461687941,,,,,8584,5.19,1,0.441176471,0.932068967,1.069995057
122,4.067,69,,-5.605802066,-1.179934156,-1.001910008,-4.122386324,,,,,8653,5.22,1,0.444852941,0.935450311,1.087938705
123,4.25,77,,-5.605802066,-1.274152722,-0.907922482,-4.096704515,,,,,8730,5.25,1,0.448529412,0.938699434,1.106060306
124,1.967,56,,-5.605802066,-1.938837191,-1.480013302,-4.761027309,,,,,8786,5.28,1,0.452205882,0.94181935,1.124359862
125,4.6,88,,-5.605802066,-1.525951896,-0.749578924,-4.0542684,,,,,8874,5.31,1,0.455882353,0.944813128,1.14283737
126,3.767,81,,-5.605802066,-1.081091542,-1.178111397,-4.170646064,,,,,8955,5.34,1,0.459558824,0.947683884,1.161492832
127,1.917,45,,-5.605802066,-1.998165873,-1.292902136,-4.791097751,,,,,9000,5.37,1,0.463235294,0.950434772,1.180326248
128,4.5,82,,-5.605802066,-1.444414028,-0.792320472,-4.065572063,,,,,9082,5.4,1,0.466911765,0.953068978,1.199337617
129,2.267,55,,-5.605802066,-1.623165139,-4.485576301,-4.604386722,,,,,9137,5.43,1,0.470588235,0.955589708,1.21852694
130,4.65,90,,-5.605802066,-1.569599405,-0.728874251,-4.048844446,,,,,9227,5.46,1,0.474264706,0.958000185,1.237894217
131,1.867,45,,-5.605802066,-2.059413603,-1.135344298,-4.822492216,,,,,9272,5.49,1,0.477941176,0.960303639,1.257439446
132,4.167,83,,-5.605802066,-1.228234089,-0.949459602,-4.108028803,,,,,9355,5.52,1,0.481617647,0.962503302,1.27716263
133,2.8,56,,-5.605802066,-1.232728489,-2.148505032,-4.39998586,,,,,9411,5.55,1,0.485294118,0.9646024,1.297063767
134,4.333,89,,-5.605802066,-1.325359487,-0.868042107,-4.085889243,,,,,9500,5.58,1,0.488970588,0.966604148,1.317142857
135,1.833,46,,-5.605802066,-2.102158221,-1.040829558,-4.84464053,,,,,9546,5.61,1,0.492647059,0.968511742,1.337399901
136,4.383,82,,-5.605802066,-1.358759271,-0.844763589,-4.079609259,,,,,9628,5.64,1,0.496323529,0.970328354,1.357834899
137,1.883,51,,-5.605802066,-2.039605537,-1.183114574,-4.812296819,,,,,9679,5.67,1,0.5,0.972057131,1.37844785
138,4.933,86,,-5.605802066,-1.85281416,-0.619138076,-4.02078813,,,,,9765,5.7,1,0.503676471,0.973701182,1.399238754
139,2.033,53,,-5.605802066,-1.86346178,-1.796925013,-4.723228244,,,,,9818,5.73,1,0.507352941,0.975263581,1.420207612
140,3.733,79,,-5.605802066,-1.074247924,-1.200190216,-4.176654524,,,,,9897,5.76,1,0.511029412,0.976747357,1.441354424
141,4.233,81,,-5.605802066,-1.264317066,-0.916290732,-4.098981656,,,,,9978,5.79,1,0.514705882,0.978155493,1.462679189
142,2.233,60,,-5.605802066,-1.655470128,-5.393133353,-4.620326635,,,,,10038,5.82,1,0.518382353,0.979490924,1.484181908
143,4.533,82,,-5.605802066,-1.470472921,-0.778012836,-4.061773175,,,,,10120,5.85,1,0.522058824,0.980756527,1.50586258
144,4.817,77,,-5.605802066,-1.729290968,-0.662672155,-4.031766261,,,,,10197,5.88,1,0.525735294,0.981955126,1.527721206
145,4.333,76,,-5.605802066,-1.325359487,-0.868042107,-4.085889243,,,,,10273,5.91,1,0.529411765,0.983089484,1.549757785
146,1.983,59,,-5.605802066,-1.920257316,-1.548124728,-4.75167127,,,,,10332,5.94,1,0.533088235,0.984162304,1.571972318
147,4.633,80,,-5.605802066,-1.554543935,-0.735865848,-4.05067197,,,,,10412,5.97,1,0.536764706,0.985176222,1.594364805
148,2.017,49,,-5.605802066,-1.881427559,-1.710384556,-4.732201628,,,,,10461,6,1,0.540441176,0.986133811,1.616935245
149,5.1,96,,-5.605802066,-2.048784201,-0.559615788,-4.006158017,,,,,10557,6.03,1,0.544117647,0.987037576,1.639683638
150,1.8,53,,-5.605802066,-2.144494249,-0.956917585,-4.866788685,,,,,10610,6.06,1,0.547794118,0.987889953,1.662609985
