,eruptions,waiting,,uniform log f(x),norm log f(x),V shaped,lognorm,V Shape F(x) ,norm,mu,3.487783088,waiting time,eruptions,Observed,Uniform,Normal,V Shaped
151,5.033,77,,-5.605802066,-1.967589964,-0.583072141,-4.011867344,,,,,10687,6.09,1,0.551470588,0.988693309,1.685714286
152,4,77,,-5.605802066,-1.15186765,-1.03865667,-4.13246552,,,,,10764,6.12,1,0.555147059,0.989449941,1.70899654
153,2.4,65,,-5.605802066,-1.505320422,-3.281603497,-4.545827748,,,,,10829,6.15,1,0.558823529,0.990162073,1.732456747
154,4.6,81,,-5.605802066,-1.525951896,-0.749578924,-4.0542684,,,,,10910,6.18,1,0.5625,0.99083186,1.756094909
155,3.567,71,,-5.605802066,-1.053577454,-1.315595909,-4.207751073,,,,,10981,6.21,1,0.566176471,0.991461385,1.779911023
156,4,70,,-5.605802066,-1.15186765,-1.03865667,-4.13246552,,,,,11051,6.24,1,0.569852941,0.992052659,1.803905091
157,4.5,81,,-5.605802066,-1.444414028,-0.792320472,-4.065572063,,,,,11132,6.27,1,0.573529412,0.992607623,1.828077113
158,4.083,93,,-5.605802066,-1.187146305,-0.993330867,-4.120034866,,,,,11225,6.3,1,0.577205882,0.993128148,1.852427088
159,1.8,53,,-5.605802066,-2.144494249,-0.956917585,-4.866788685,,,,,11278,6.33,1,0.580882353,0.993616033,1.876955017
160,3.967,89,,-5.605802066,-1.139310421,-1.057264481,-4.137571282,,,,,11367,6.36,1,0.584558824,0.994073009,1.9016609
161,2.2,45,,-5.605802066,-1.687673574,-4.670489652,-4.636202978,,,,,11412,6.39,1,0.588235294,0.994500739,1.926544736
162,4.15,86,,-5.605802066,-1.219481545,-0.958184317,-4.11041341,,,,,11498,6.42,1,0.591911765,0.994900818,1.951606525
163,2,58,,-5.605802066,-1.900731516,-1.625967214,-4.741867344,,,,,11556,6.45,1,0.595588235,0.995274775,1.976846268
164,3.833,78,,-5.605802066,-1.096909358,-1.136596002,-4.159312069,,,,,11634,6.48,1,0.599264706,0.995624074,2.002263964
165,3.5,66,,-5.605802066,-1.051226209,-1.366230072,-4.2211831,,,,,11700,6.51,1,0.602941176,0.995950116,2.027859614
166,4.583,76,,-5.605802066,-1.511548903,-0.756717313,-4.056146608,,,,,11776,6.54,1,0.606617647,0.996254239,2.053633218
167,2.367,63,,-5.605802066,-1.533293516,-3.472381764,-4.559819613,,,,,11839,6.57,1,0.610294118,0.996537721,2.079584775
168,5,88,,-5.605802066,-1.928865345,-0.594830694,-4.014757396,,,,,11927,6.6,1,0.613970588,0.99680178,2.105714286
169,1.933,52,,-5.605802066,-1.978971902,-1.349057239,-4.781335087,,,,,11979,6.63,1,0.617647059,0.997047578,2.13202175
170,4.617,93,,-5.605802066,-1.540576732,-0.742491131,-4.052407585,,,,,12072,6.66,1,0.621323529,0.997276218,2.158507168
171,1.917,49,,-5.605802066,-1.998165873,-1.292902136,-4.791097751,,,,,12121,6.69,1,0.625,0.997488753,2.185170539
172,2.083,57,,-5.605802066,-1.808585293,-2.128887659,-4.695935112,,,,,12178,6.72,1,0.628676471,0.997686179,2.212011864
173,4.583,77,,-5.605802066,-1.511548903,-0.756717313,-4.056146608,,,,,12255,6.75,1,0.632352941,0.997869445,2.239031142
174,3.333,68,,-5.605802066,-1.060364167,-1.504868614,-4.257088535,,,,,12323,6.78,1,0.636029412,0.998039448,2.266228374
175,4.167,81,,-5.605802066,-1.228234089,-0.949459602,-4.108028803,,,,,12404,6.81,1,0.639705882,0.998197039,2.293603559
176,4.333,81,,-5.605802066,-1.325359487,-0.868042107,-4.085889243,,,,,12485,6.84,1,0.643382353,0.998343024,2.321156698
177,4.5,73,,-5.605802066,-1.444414028,-0.792320472,-4.065572063,,,,,12558,6.87,1,0.647058824,0.998478164,2.34888779
178,2.417,50,,-5.605802066,-1.491236279,-3.195908776,-4.538751349,,,,,12608,6.9,1,0.650735294,0.998603179,2.376796836
179,4,85,,-5.605802066,-1.15186765,-1.03865667,-4.13246552,,,,,12693,6.93,1,0.654411765,0.998718746,2.404883836
180,4.167,74,,-5.605802066,-1.228234089,-0.949459602,-4.108028803,,,,,12767,6.96,1,0.658088235,0.998825507,2.433148789
181,1.883,55,,-5.605802066,-2.039605537,-1.183114574,-4.812296819,,,,,12822,6.99,1,0.661764706,0.998924064,2.461591696
182,4.583,77,,-5.605802066,-1.511548903,-0.756717313,-4.056146608,,,,,12899,7.02,1,0.665441176,0.999014984,2.490212556
183,4.25,83,,-5.605802066,-1.274152722,-0.907922482,-4.096704515,,,,,12982,7.05,1,0.669117647,0.999098802,2.519011369
184,3.767,83,,-5.605802066,-1.081091542,-1.178111397,-4.170646064,,,,,13065,7.08,1,0.672794118,0.99917602,2.547988136
185,2.033,51,,-5.605802066,-1.86346178,-1.796925013,-4.723228244,,,,,13116,7.11,1,0.676470588,0.999247106,2.577142857
186,4.433,78,,-5.605802066,-1.394078105,-0.822014655,-4.073499844,,,,,13194,7.14,1,0.680147059,0.999312505,2.606475531
187,4.083,84,,-5.605802066,-1.187146305,-0.993330867,-4.120034866,,,,,13278,7.17,1,0.683823529,0.999372628,2.635986159
188,1.833,46,,-5.605802066,-2.102158221,-1.040829558,-4.84464053,,,,,13324,7.2,1,0.6875,0.999427863,2.66567474
189,4.417,83,,-5.605802066,-1.382567286,-0.829238163,-4.075436604,,,,,13407,7.23,1,0.691176471,0.999478573,2.695541275
190,2.183,55,,-5.605802066,-1.704589467,-3.677237879,-4.644542313,,,,,13462,7.26,1,0.694852941,0.999525096,2.725585764
191,4.8,81,,-5.605802066,-1.712056226,-0.669214414,-4.033434387,,,,,13543,7.29,1,0.698529412,0.999567748,2.755808206
192,1.833,57,,-5.605802066,-2.102158221,-1.040829558,-4.84464053,,,,,13600,7.32,1,0.702205882,0.999606825,2.786208601
193,4.8,76,,-5.605802066,-1.712056226,-0.669214414,-4.033434387,,,,,13676,7.35,1,0.705882353,0.999642601,2.81678695
194,4.1,84,,-5.605802066,-1.19502453,-0.984295461,-4.117559405,,,,,13760,7.38,1,0.709558824,0.999675333,2.847543253
195,3.966,77,,-5.605802066,-1.138942948,-1.057833795,-4.13772749,,,,,13837,7.41,1,0.713235294,0.999705258,2.878477509
196,4.233,81,,-5.605802066,-1.264317066,-0.916290732,-4.098981656,,,,,13918,7.44,1,0.716911765,0.9997326,2.909589718
197,3.5,87,,-5.605802066,-1.051226209,-1.366230072,-4.2211831,,,,,14005,7.47,1,0.720588235,0.999757563,2.940879881
198,4.366,77,,-5.605802066,-1.347188027,-0.852617637,-4.081725063,,,,,14082,7.5,1,0.724264706,0.999780338,2.972347998
199,2.25,51,,-5.605802066,-1.639206712,-4.839748115,-4.612304659,,,,,14133,7.53,1,0.727941176,0.999801104,3.003994068
200,4.667,78,,-5.605802066,-1.584876717,-0.721931197,-4.047033832,,,,,14211,7.56,1,0.731617647,0.999820024,3.035818092
201,2.1,60,,-5.605802066,-1.790364447,-2.272594379,-4.686905635,,,,,14271,7.59,1,0.735294118,0.999837251,3.067820069
202,4.35,82,,-5.605802066,-1.336500096,-0.860066461,-4.083734596,,,,,14353,7.62,1,0.738970588,0.999852924,3.1
203,4.133,91,,-5.605802066,-1.210950843,-0.966985823,-4.112820712,,,,,14444,7.65,1,0.742647059,0.999867175,3.132357884
204,1.867,53,,-5.605802066,-2.059413603,-1.135344298,-4.822492216,,,,,14497,7.68,1,0.746323529,0.999880124,3.164893722
205,4.6,78,,-5.605802066,-1.525951896,-0.749578924,-4.0542684,,,,,14575,7.71,1,0.75,0.999891881,3.197607514
206,1.783,46,,-5.605802066,-2.166629955,-0.916290732,-4.878458057,,,,,14621,7.74,1,0.753676471,0.999902549,3.230499259
207,4.367,77,,-5.605802066,-1.347862548,-0.852153923,-4.081600054,,,,,14698,7.77,1,0.757352941,0.999912221,3.263568957
208,3.85,84,,-5.605802066,-1.101525199,-1.126176048,-4.15646133,,,,,14782,7.8,1,0.761029412,0.999920986,3.296816609
209,1.933,49,,-5.605802066,-1.978971902,-1.349057239,-4.781335087,,,,,14831,7.83,1,0.764705882,0.999928922,3.330242215
210,4.5,83,,-5.605802066,-1.444414028,-0.792320472,-4.065572063,,,,,14914,7.86,1,0.768382353,0.999936103,3.363845774
211,2.383,71,,-5.605802066,-1.519626408,-3.375335975,-4.552993101,,,,,14985,7.89,1,0.772058824,0.999942596,3.397627286
212,4.7,80,,-5.605802066,-1.615165962,-0.70858958,-4.043566785,,,,,15065,7.92,1,0.775735294,0.999948463,3.431586752
213,1.867,49,,-5.605802066,-2.059413603,-1.135344298,-4.822492216,,,,,15114,7.95,1,0.779411765,0.999953761,3.465724172
214,3.833,75,,-5.605802066,-1.096909358,-1.136596002,-4.159312069,,,,,15189,7.98,1,0.783088235,0.999958541,3.500039545
215,3.417,64,,-5.605802066,-1.053091906,-1.432734348,-4.238579665,,,,,15253,8.01,1,0.786764706,0.999962852,3.534532872
216,4.233,76,,-5.605802066,-1.264317066,-0.916290732,-4.098981656,,,,,15329,8.04,1,0.790441176,0.999966736,3.569204152
217,2.4,53,,-5.605802066,-1.505320422,-3.281603497,-4.545827748,,,,,15382,8.07,1,0.794117647,0.999970234,3.604053386
218,4.8,94,,-5.605802066,-1.712056226,-0.669214414,-4.033434387,,,,,15476,8.1,1,0.797794118,0.999973382,3.639080573
219,2,55,,-5.605802066,-1.900731516,-1.625967214,-4.741867344,,,,,15531,8.13,1,0.801470588,0.999976212,3.674285714
220,4.15,76,,-5.605802066,-1.219481545,-0.958184317,-4.11041341,,,,,15607,8.16,1,0.805147059,0.999978756,3.709668809
221,1.867,50,,-5.605802066,-2.059413603,-1.135344298,-4.822492216,,,,,15657,8.19,1,0.808823529,0.99998104,3.745229857
222,4.267,82,,-5.605802066,-1.28421022,-0.899623679,-4.094448722,,,,,15739,8.22,1,0.8125,0.999983089,3.780968858
223,1.75,54,,-5.605802066,-2.210232555,-0.841848256,-4.901633435,,,,,15793,8.25,1,0.816176471,0.999984927,3.816885813
224,4.483,75,,-5.605802066,-1.431315988,-0.799771745,-4.067556065,,,,,15868,8.28,1,0.819852941,0.999986574,3.852980722
225,4,78,,-5.605802066,-1.15186765,-1.03865667,-4.13246552,,,,,15946,8.31,1,0.823529412,0.999988049,3.889253584
226,4.117,79,,-5.605802066,-1.203124598,-0.975340963,-4.115107357,,,,,16025,8.34,1,0.827205882,0.999989369,3.925704399
227,4.083,78,,-5.605802066,-1.187146305,-0.993330867,-4.120034866,,,,,16103,8.37,1,0.830882353,0.99999055,3.962333169
228,4.267,78,,-5.605802066,-1.28421022,-0.899623679,-4.094448722,,,,,16181,8.4,1,0.834558824,0.999991605,3.999139891
229,3.917,70,,-5.605802066,-1.121877127,-1.086134846,-4.145490866,,,,,16251,8.43,1,0.838235294,0.999992547,4.036124567
230,4.55,79,,-5.605802066,-1.484223438,-0.770721361,-4.059842826,,,,,16330,8.46,1,0.841911765,0.999993388,4.073287197
231,4.083,70,,-5.605802066,-1.187146305,-0.993330867,-4.120034866,,,,,16400,8.49,1,0.845588235,0.999994137,4.110627781
232,2.417,54,,-5.605802066,-1.491236279,-3.195908776,-4.538751349,,,,,16454,8.52,1,0.849264706,0.999994806,4.148146317
233,4.183,86,,-5.605802066,-1.23667443,-0.941317063,-4.105804987,,,,,16540,8.55,1,0.852941176,0.999995401,4.185842808
234,2.217,50,,-5.605802066,-1.670979524,-6.58271742,-4.627973495,,,,,16590,8.58,1,0.856617647,0.99999593,4.223717252
235,4.45,90,,-5.605802066,-1.406523668,-0.814396424,-4.071460617,,,,,16680,8.61,1,0.860294118,0.999996401,4.261769649
236,1.883,54,,-5.605802066,-2.039605537,-1.183114574,-4.812296819,,,,,16734,8.64,1,0.863970588,0.99999682,4.3
237,1.85,54,,-5.605802066,-2.080674991,-1.086970714,-4.83348308,,,,,16788,8.67,1,0.867647059,0.999997192,4.338408304
238,4.283,77,,-5.605802066,-1.293878752,-0.891875457,-4.092344928,,,,,16865,8.7,1,0.871323529,0.999997522,4.376994563
239,3.95,79,,-5.605802066,-1.133167784,-1.066987177,-4.140238857,,,,,16944,8.73,1,0.875,0.999997814,4.415758774
240,2.333,64,,-5.605802066,-1.562988598,-3.716443214,-4.574598226,,,,,17008,8.76,1,0.878676471,0.999998074,4.454700939
241,4.15,75,,-5.605802066,-1.219481545,-0.958184317,-4.11041341,,,,,17083,8.79,1,0.882352941,0.999998304,4.493821058
242,2.35,47,,-5.605802066,-1.548030136,-3.586985146,-4.567162106,,,,,17130,8.82,1,0.886029412,0.999998507,4.53311913
243,4.933,86,,-5.605802066,-1.85281416,-0.619138076,-4.02078813,,,,,17216,8.85,1,0.889705882,0.999998687,4.572595156
244,2.9,63,,-5.605802066,-1.183770999,-1.991935971,-4.369334765,,,,,17279,8.88,1,0.893382353,0.999998846,4.612249135
245,4.583,85,,-5.605802066,-1.511548903,-0.756717313,-4.056146608,,,,,17364,8.91,1,0.897058824,0.999998986,4.652081068
246,3.833,82,,-5.605802066,-1.096909358,-1.136596002,-4.159312069,,,,,17446,8.94,1,0.900735294,0.99999911,4.692090954
247,2.083,57,,-5.605802066,-1.808585293,-2.128887659,-4.695935112,,,,,17503,8.97,1,0.904411765,0.999999219,4.732278794
248,4.367,82,,-5.605802066,-1.347862548,-0.852153923,-4.081600054,,,,,17585,9,1,0.908088235,0.999999316,4.772644587
249,2.133,67,,-5.605802066,-1.755627855,-2.629269323,-4.669726561,,,,,17652,9.03,1,0.911764706,0.9999994,4.813188334
250,4.35,74,,-5.605802066,-1.336500096,-0.860066461,-4.083734596,,,,,17726,9.06,1,0.915441176,0.999999475,4.853910035
251,2.2,54,,-5.605802066,-1.687673574,-4.670489652,-4.636202978,,,,,17780,9.09,1,0.919117647,0.999999541,4.894809689
252,4.45,83,,-5.605802066,-1.406523668,-0.814396424,-4.071460617,,,,,17863,9.12,1,0.922794118,0.999999598,4.935887296
253,3.567,73,,-5.605802066,-1.053577454,-1.315595909,-4.207751073,,,,,17936,9.15,1,0.926470588,0.999999649,4.977142857
254,4.5,73,,-5.605802066,-1.444414028,-0.792320472,-4.065572063,,,,,18009,9.18,1,0.930147059,0.999999694,5.018576372
255,4.15,88,,-5.605802066,-1.219481545,-0.958184317,-4.11041341,,,,,18097,9.21,1,0.933823529,0.999999733,5.06018784
256,3.817,80,,-5.605802066,-1.092767688,-1.146503203,-4.162020512,,,,,18177,9.24,1,0.9375,0.999999767,5.101977261
257,3.917,71,,-5.605802066,-1.121877127,-1.086134846,-4.145490866,,,,,18248,9.27,1,0.941176471,0.999999797,5.143944637
258,4.45,83,,-5.605802066,-1.406523668,-0.814396424,-4.071460617,,,,,18331,9.3,1,0.944852941,0.999999823,5.186089965
259,2,56,,-5.605802066,-1.900731516,-1.625967214,-4.741867344,,,,,18387,9.33,1,0.948529412,0.999999846,5.228413248
260,4.283,79,,-5.605802066,-1.293878752,-0.891875457,-4.092344928,,,,,18466,9.36,1,0.952205882,0.999999866,5.270914483
261,4.767,78,,-5.605802066,-1.679233835,-0.682037594,-4.036717073,,,,,18544,9.39,1,0.955882353,0.999999884,5.313593673
262,4.533,84,,-5.605802066,-1.470472921,-0.778012836,-4.061773175,,,,,18628,9.42,1,0.959558824,0.999999899,5.356450816
263,1.85,58,,-5.605802066,-2.080674991,-1.086970714,-4.83348308,,,,,18686,9.45,1,0.963235294,0.999999912,5.399485912
264,4.25,83,,-5.605802066,-1.274152722,-0.907922482,-4.096704515,,,,,18769,9.48,1,0.966911765,0.999999924,5.442698962
265,1.983,43,,-5.605802066,-1.920257316,-1.548124728,-4.75167127,,,,,18812,9.51,1,0.970588235,0.999999934,5.486089965
266,2.25,60,,-5.605802066,-1.639206712,-4.839748115,-4.612304659,,,,,18872,9.54,1,0.974264706,0.999999943,5.529658922
267,4.75,75,,-5.605802066,-1.662651569,-0.688708209,-4.038431392,,,,,18947,9.57,1,0.977941176,0.999999951,5.573405833
268,4.117,81,,-5.605802066,-1.203124598,-0.975340963,-4.115107357,,,,,19028,9.6,1,0.981617647,0.999999957,5.617330697
269,2.15,46,,-5.605802066,-1.738059486,-2.878730183,-4.661051873,,,,,19074,9.63,1,0.985294118,0.999999963,5.661433515
270,4.417,90,,-5.605802066,-1.382567286,-0.829238163,-4.075436604,,,,,19164,9.66,1,0.988970588,0.999999968,5.705714286
271,1.817,46,,-5.605802066,-2.122580384,-0.999265133,-4.855297158,,,,,19210,9.69,1,0.992647059,0.999999972,5.75017301
272,4.467,74,,-5.605802066,-1.419191073,-0.806835792,-4.069440346,,,,,19284,9.72,1,0.996323529,0.999999976,5.794809689
273,,,,,,,,,,,,19284,9.75,1,1,0.99999998,5.83962432
274,,,,,,,,,,,,19284,9.78,1,1.003676471,0.999999982,5.884616906
275,,,,,,,,,,,,19284,9.81,1,1.007352941,0.999999985,5.929787444
276,,,,,,,,,,,,19284,9.84,1,1.011029412,0.999999987,5.975135937
277,,,,,,,,,,,,19284,9.87,1,1.014705882,0.999999989,6.020662383
278,,,,,,,,,,,,19284,9.9,1,1.018382353,0.99999999,6.066366782
279,,,,,,,,,,,,19284,9.93,1,1.022058824,0.999999992,6.112249135
280,,,,,,,,,,,,19284,9.96,1,1.025735294,0.999999993,6.158309441
281,,,,,,,,,,,,19284,9.99,1,1.029411765,0.999999994,6.204547701
282,,,,,,,,,,,,19284,10.02,1,1.033088235,0.999999995,6.250963915
283,,,,,,,,,,,,19284,10.05,1,1.036764706,0.999999996,6.297558082
284,,,,,,,,,,,,19284,10.08,1,1.040441176,0.999999996,6.344330203
285,,,,,,,,,,,,19284,10.11,1,1.044117647,0.999999997,6.391280277
286,,,,,,,,,,,,19284,10.14,1,1.047794118,0.999999997,6.438408304
287,,,,,,,,,,,,19284,10.17,1,1.051470588,0.999999998,6.485714286
288,,,,,,,,,,,,19284,10.2,1,1.055147059,0.999999998,6.53319822
289,,,,,,,,,,,,19284,10.23,1,1.058823529,0.999999998,6.580860109
290,,,,,,,,,,,,19284,10.26,1,1.0625,0.999999999,6.628699951
291,,,,,,,,,,,,19284,10.29,1,1.066176471,0.999999999,6.676717746
292,,,,,,,,,,,,19284,10.32,1,1.069852941,0.999999999,6.724913495
293,,,,,,,,,,,,19284,10.35,1,1.073529412,0.999999999,6.773287197
294,,,,,,,,,,,,19284,10.38,1,1.077205882,0.999999999,6.821838853
295,,,,,,,,,,,,19284,10.41,1,1.080882353,0.999999999,6.870568463
296,,,,,,,,,,,,19284,10.44,1,1.084558824,0.999999999,6.919476026
297,,,,,,,,,,,,19284,10.47,1,1.088235294,1,6.968561542
298,,,,,,,,,,,,19284,10.5,1,1.091911765,1,7.017825012
299,,,,,,,,,,,,19284,10.53,1,1.095588235,1,7.067266436
300,,,,,,,,,,,,19284,10.56,1,1.099264706,1,7.116885813
301,,,,,,,,,,,,19284,10.59,1,1.102941176,1,7.166683144
302,,,,,,,,,,,,19284,10.62,1,1.106617647,1,7.216658428
303,,,,,,,,,,,,19284,10.65,1,1.110294118,1,7.266811666
304,,,,,,,,,,,,19284,10.68,1,1.113970588,1,7.317142857
305,,,,,,,,,,,,19284,10.71,1,1.117647059,1,7.367652002
306,,,,,,,,,,,,19284,10.74,1,1.121323529,1,7.4183391
307,,,,,,,,,,,,19284,10.77,1,1.125,1,7.469204152
308,,,,,,,,,,,,19284,10.8,1,1.128676471,1,7.520247158
309,,,,,,,,,,,,19284,10.83,1,1.132352941,1,7.571468117
310,,,,,,,,,,,,19284,10.86,1,1.136029412,1,7.622867029
311,,,,,,,,,,,,19284,10.89,1,1.139705882,1,7.674443895
312,,,,,,,,,,,,19284,10.92,1,1.143382353,1,7.726198715
313,,,,,,,,,,,,19284,10.95,1,1.147058824,1,7.778131488
314,,,,,,,,,,,,19284,10.98,1,1.150735294,1,7.830242215
315,,,,,,,,,,,,19284,11.01,1,1.154411765,1,7.882530895
316,,,,,,,,,,,,19284,11.04,1,1.158088235,1,7.934997528
317,,,,,,,,,,,,19284,11.07,1,1.161764706,1,7.987642116
318,,,,,,,,,,,,19284,11.1,1,1.165441176,1,8.040464656
319,,,,,,,,,,,,19284,11.13,1,1.169117647,1,8.093465151
320,,,,,,,,,,,,19284,11.16,1,1.172794118,1,8.146643599
321,,,,,,,,,,,,19284,11.19,1,1.176470588,1,8.2
322,,,,,,,,,,,,19284,11.22,1,1.180147059,1,8.253534355
323,,,,,,,,,,,,19284,11.25,1,1.183823529,1,8.307246663
324,,,,,,,,,,,,19284,11.28,1,1.1875,1,8.361136925
325,,,,,,,,,,,,19284,11.31,1,1.191176471,1,8.415205141
326,,,,,,,,,,,,19284,11.34,1,1.194852941,1,8.46945131
327,,,,,,,,,,,,19284,11.37,1,1.198529412,1,8.523875433
328,,,,,,,,,,,,19284,11.4,1,1.202205882,1,8.578477509
329,,,,,,,,,,,,19284,11.43,1,1.205882353,1,8.633257538
330,,,,,,,,,,,,19284,11.46,1,1.209558824,1,8.688215522
331,,,,,,,,,,,,19284,11.49,1,1.213235294,1,8.743351458
332,,,,,,,,,,,,19284,11.52,1,1.216911765,1,8.798665348
333,,,,,,,,,,,,19284,11.55,1,1.220588235,1,8.854157192
334,,,,,,,,,,,,19284,11.58,1,1.224264706,1,8.90982699
335,,,,,,,,,,,,19284,11.61,1,1.227941176,1,8.96567474
336,,,,,,,,,,,,19284,11.64,1,1.231617647,1,9.021700445
337,,,,,,,,,,,,19284,11.67,1,1.235294118,1,9.077904103
338,,,,,,,,,,,,19284,11.7,1,1.238970588,1,9.134285714
339,,,,,,,,,,,,19284,11.73,1,1.242647059,1,9.190845279
340,,,,,,,,,,,,19284,11.76,1,1.246323529,1,9.247582798
341,,,,,,,,,,,,19284,11.79,1,1.25,1,9.30449827
342,,,,,,,,,,,,19284,11.82,1,1.253676471,1,9.361591696
343,,,,,,,,,,,,19284,11.85,1,1.257352941,1,9.418863075
344,,,,,,,,,,,,19284,11.88,1,1.261029412,1,9.476312407
345,,,,,,,,,,,,19284,11.91,1,1.264705882,1,9.533939694
346,,,,,,,,,,,,19284,11.94,1,1.268382353,1,9.591744933
347,,,,,,,,,,,,19284,11.97,1,1.272058824,1,9.649728127
348,,,,,,,,,,,,19284,12,1,1.275735294,1,9.707889273
349,,,,,,,,,,,,19284,12.03,1,1.279411765,1,9.766228374
350,,,,,,,,,,,,19284,12.06,1,1.283088235,1,9.824745428
351,,,,,,,,,,,,19284,12.09,1,1.286764706,1,0.657142857
